customerid,frequency,monetary_value,avg_order_value,total_quantity,unique_products,min_unit_price,max_unit_price,avg_unit_price,std_unit_price,country_count,recency_days,customer_tenure_days,avg_basket_size,std_basket_size,max_basket_size,purchases_last_30_days,purchases_last_60_days,purchases_last_90_days,recency_score,freq_score,monetary_score,rfm_total,monetary_per_txn,quantity_per_txn,tenure_velocity,variety_ratio,price_stability,basket_growth,log_monetary,log_frequency,churn
12346.0,11,372.86,11.298787878787879,70,26,1.0,7.49,6.253333333333334,1.6829710831344271,1,44,196,6.363636363636363,4.653444472059966,19,0.0,1.0,1.0,3,3,2,8,31.07166666666667,5.833333333333333,0.05583756345177665,0.36619718309859156,0.26908880506333105,2.580246913580247,5.923881395784186,2.4849066497880004,1
12349.0,2,1268.52,26.989787234042552,474,47,0.42,200.0,8.39531914893617,29.10866021225387,1,85,18,237.0,333.75440072005046,473,0.0,0.0,1.0,2,1,3,6,422.84,158.0,0.10526315789473684,0.09894736842105263,3.4668358474608474,1.9873949579831933,7.146394155254587,1.0986122886681098,0
12355.0,1,488.21000000000004,22.191363636363636,303,22,0.42,9.95,2.399090909090909,2.3070944602431966,1,82,0,303.0,0.0,303,0.0,0.0,1.0,2,1,2,5,244.10500000000002,151.5,1.0,0.07236842105263158,0.9612529473381752,0.9967105263157895,6.192791845141295,0.6931471805599453,1
12358.0,2,1697.93,48.51228571428572,590,34,0.65,10.75,3.4425714285714286,2.9871522370637487,1,65,181,295.0,19.79898987322333,309,0.0,0.0,1.0,3,1,4,8,565.9766666666667,196.66666666666666,0.01098901098901099,0.05752961082910321,0.867457608771883,1.0439189189189189,7.437753920116862,1.0986122886681098,0
12359.0,5,2012.03,23.395697674418603,877,82,0.34,49.95,5.1703488372093025,5.804230596561225,1,50,198,175.4,135.68271813315062,397,0.0,1.0,1.0,3,3,4,10,335.3383333333333,146.16666666666666,0.02512562814070352,0.09339407744874716,1.1223823376211175,2.250566893424036,7.607396328658398,1.791759469228055,0
12360.0,3,780.04,17.33422222222222,756,44,0.12,40.0,2.9144444444444444,8.123428395012102,1,78,92,252.0,352.50106382818194,655,0.0,0.0,1.0,2,2,3,7,195.01,189.0,0.03225806451612903,0.05812417437252312,2.786343060143638,2.588932806324111,6.660626364917416,1.3862943611198906,0
12361.0,2,207.35,15.95,83,11,1.65,15.0,4.280769230769231,4.785243744294296,1,94,103,41.5,4.949747468305833,45,0.0,0.0,0.0,2,1,1,4,69.11666666666666,27.666666666666668,0.019230769230769232,0.13095238095238096,1.1175856255650225,1.0588235294117647,5.339219357868463,1.0986122886681098,0
12362.0,1,130.0,130.0,1,1,130.0,130.0,130.0,0.0,1,253,0,1.0,0.0,1,0.0,0.0,0.0,1,1,1,3,65.0,0.5,1.0,0.5,0.0,0.5,4.875197323201151,0.6931471805599453,1
12366.0,1,500.24,166.74666666666667,296,3,1.69,1.69,1.6900000000000002,0.0,1,148,0,296.0,0.0,296,0.0,0.0,0.0,1,1,2,4,250.12,148.0,1.0,0.010101010101010102,0.0,0.9966329966329966,6.217085028297085,0.6931471805599453,1
12368.0,1,917.6999999999999,50.98333333333333,330,18,0.85,14.95,4.391666666666667,4.1127581270680995,1,143,0,330.0,0.0,330,0.0,0.0,0.0,1,1,3,5,458.84999999999997,165.0,1.0,0.054380664652567974,0.9362782198515934,0.9969788519637462,6.822959627277421,0.6931471805599453,1
12369.0,1,348.32,38.70222222222222,209,9,0.85,40.0,5.748888888888889,12.854600776030003,1,156,0,209.0,0.0,209,0.0,0.0,0.0,1,1,2,4,174.16,104.5,1.0,0.04285714285714286,2.2356259441587283,0.9952380952380953,5.855988407545532,0.6931471805599453,0
12370.0,3,774.62,22.132,252,33,0.85,40.0,6.410285714285715,10.728766577240254,1,139,44,84.0,78.54298186343577,172,0.0,0.0,0.0,1,2,3,6,193.655,63.0,0.06666666666666667,0.13043478260869565,1.6734188827888716,2.023529411764706,6.653662709523911,1.3862943611198906,1
12371.0,2,607.6800000000001,17.87294117647059,252,32,0.42,40.0,5.318529411764706,8.994753734346093,1,160,0,126.0,63.63961030678928,171,0.0,0.0,0.0,1,1,3,5,202.56000000000003,84.0,2.0,0.12648221343873517,1.6908927534930507,1.3464566929133859,6.411292678051914,1.0986122886681098,0
12373.0,2,763.0500000000001,20.622972972972974,319,31,0.85,40.0,4.644594594594595,8.837874491387934,1,139,49,159.5,68.58935777509511,208,0.0,0.0,0.0,1,1,3,5,254.35000000000002,106.33333333333333,0.04,0.096875,1.9024205215132821,1.2959501557632398,6.638633232051267,1.0986122886681098,1
12374.0,1,1388.54,38.57055555555556,798,36,0.85,3.75,1.8199999999999998,0.8221817664864972,1,103,0,798.0,0.0,798,0.0,0.0,0.0,2,1,4,7,694.27,399.0,1.0,0.04505632040050062,0.45150014634074537,0.9987484355444305,7.236728036101784,0.6931471805599453,0
12377.0,1,1210.96,25.765106382978725,835,47,0.29,5.95,2.1465957446808512,1.4811119157369643,1,104,0,835.0,0.0,835,0.0,0.0,0.0,2,1,3,6,605.48,417.5,1.0,0.056220095693779906,0.6896604816830034,0.9988038277511961,7.099994162784309,0.6931471805599453,0
12378.0,1,1407.7,17.167073170731708,787,82,0.29,39.95,4.402073170731708,6.994059867250117,1,77,0,787.0,0.0,787,0.0,0.0,1.0,2,1,4,7,703.85,393.5,1.0,0.10406091370558376,1.5884496114535012,0.998730964467005,7.250422572266261,0.6931471805599453,1
12379.0,1,367.48,20.415555555555557,163,18,0.85,15.0,3.377222222222222,3.669546863443297,1,49,0,163.0,0.0,163,0.0,1.0,1.0,3,1,2,6,183.74,81.5,1.0,0.10975609756097561,1.0862360798246833,0.9939024390243902,5.909386436072375,0.6931471805599453,0
